,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
87,2022-01-27,RDC,Chemagen,1.97,2.31,97.14,14.571
88,2022-01-20,RDC,Chemagen,2.3,1.39,58.34,8.751
89,2022-03-14,RDC,Chemagen,2.0,2.31,101.81,15.2715
90,2022-03-07,RDC,Chemagen,1.99,2.27,57.87,8.6805
91,2022-01-25,RDC,Chemagen,1.96,2.55,79.69,11.9535
92,2022-02-16,RDC,Chemagen,1.95,2.06,100.08,15.012
93,2022-02-07,RDC,Chemagen,1.88,2.14,58.31,8.7465
94,2022-03-22,RDC,Chemagen,2.06,2.93,46.4,6.96
95,2022-01-20,RDC,Chemagen,1.93,2.3,115.22,17.283
96,2022-03-17,RDC,Chemagen,1.96,2.45,83.54,12.531000000000002
97,2022-01-07,RDC,Chemagen,1.98,2.36,94.43,14.164500000000002
98,2022-02-24,RDC,Chemagen,1.93,2.12,96.32,14.447999999999999
99,2022-02-25,RDC,Chemagen,1.97,2.31,136.73,20.5095
100,2022-02-04,RDC,Chemagen,1.9,-3.04,57.43,8.6145
101,2022-02-04,RDC,Chemagen,1.93,-2.93,49.03,7.3545
102,2022-01-20,RDC,Chemagen,1.94,2.13,160.19,24.0285
103,2022-03-11,RDC,Chemagen,1.95,2.04,127.34,19.101
104,2022-02-16,RDC,Chemagen,1.87,2.02,54.57,8.1855
105,2022-01-25,RDC,Chemagen,1.93,2.26,107.41,16.1115
106,2022-01-31,RDC,Chemagen,1.98,2.25,56.37,8.4555
107,2022-03-22,RDC,Chemagen,1.94,2.38,155.42,23.312999999999995
108,2022-03-10,RDC,Chemagen,1.98,2.22,60.98,9.147
109,2022-01-17,RDC,Chemagen,1.9,1.9,84.5,12.675
110,2022-02-10,RDC,Chemagen,1.96,1.74,126.42,18.963
111,2022-02-07,RDC,Chemagen,2.0,2.25,107.76,16.164
112,2022-02-25,RDC,Chemagen,1.95,2.21,106.45,15.9675
113,2022-02-16,RDC,Chemagen,1.83,2.05,35.69,5.3535
114,2022-02-01,RDC,Chemagen,1.98,2.38,72.26,10.839
115,2022-03-11,RDC,Chemagen,2.0,2.33,103.97,15.5955
116,2022-01-07,RDC,Chemagen,1.96,2.28,175.02,26.253
117,2022-03-24,RDC,Chemagen,1.86,2.06,45.31,6.7965
118,2022-03-17,RDC,Chemagen,2.01,2.05,135.3,20.295
119,2022-01-20,RDC,Chemagen,1.96,2.28,106.61,15.9915
120,2022-03-07,RDC,Chemagen,1.95,2.25,98.6,14.79
121,2022-03-14,RDC,Chemagen,1.96,2.25,85.9,12.885
122,2022-01-25,RDC,Chemagen,2.06,2.46,78.71,11.806499999999998
123,2022-03-21,RDC,Chemagen,1.87,2.28,103.87,15.5805
124,2022-03-03,RDC,Chemagen,1.86,2.11,57.89,8.6835
125,2022-03-24,RDC,Chemagen,2.02,2.7,69.2,10.38
126,2022-02-28,RDC,Chemagen,2.01,2.37,147.58,22.137000000000004
127,2022-02-25,RDC,Chemagen,1.86,2.22,79.27,11.8905
128,2022-02-10,RDC,Chemagen,2.02,2.31,96.93,14.539500000000002
129,2022-03-09,RDC,Chemagen,2.0,2.16,51.88,7.782
130,2022-02-08,RDC,Chemagen,1.95,2.09,67.83,10.1745
131,2022-03-17,RDC,Chemagen,2.0,2.29,71.3,10.695
132,2022-01-24,RDC,Chemagen,1.91,2.46,161.22,24.183
133,2022-01-12,RDC,Chemagen,1.99,2.06,72.68,10.902000000000001
134,2022-02-21,RDC,Chemagen,1.84,1.55,89.33,13.3995
135,2022-01-25,RDC,Chemagen,2.02,2.13,85.14,12.771
136,2022-01-25,RDC,Chemagen,1.99,2.34,78.97,11.8455
137,2022-02-16,RDC,Chemagen,2.02,2.28,85.78,12.867
138,2022-01-24,RDC,Chemagen,1.92,2.66,51.95,7.7925
139,2022-02-10,RDC,Chemagen,2.04,2.07,57.21,8.5815
140,2022-03-14,RDC,Chemagen,1.91,2.21,179.58,26.937000000000005
141,2022-03-25,RDC,Chemagen,2.04,2.13,114.07,17.1105
142,2022-03-14,RDC,Chemagen,1.99,2.21,53.0,7.95
143,2022-01-24,RDC,Chemagen,1.9,2.42,40.05,6.0075
144,2022-03-07,RDC,Chemagen,1.9,2.21,77.32,11.597999999999999
145,2022-01-20,RDC,Chemagen,2.04,2.27,82.21,12.331499999999998
146,2022-02-14,RDC,Chemagen,1.9,2.26,175.8,26.37
147,2022-03-28,RDC,Chemagen,2.02,2.35,68.46,10.268999999999998
148,2022-01-24,RDC,Chemagen,1.93,2.39,85.6,12.84
149,2022-02-08,RDC,Chemagen,2.05,2.08,73.12,10.968
150,2022-02-08,RDC,Chemagen,1.95,1.83,56.6,8.49
151,2022-02-25,RDC,Chemagen,2.01,2.16,85.4,12.81
152,2022-03-28,RDC,Chemagen,2.04,2.5,40.22,6.033
153,2022-03-25,RDC,Chemagen,2.19,3.25,36.8,5.52
154,2022-01-27,RDC,Chemagen,2.04,2.19,70.48,10.572
155,2022-02-10,RDC,Chemagen,2.22,2.85,43.5,6.525
156,2022-01-07,RDC,Chemagen,2.03,2.46,89.13,13.3695
157,2022-03-28,RDC,Chemagen,2.01,2.09,101.41,15.2115
158,2022-03-21,RDC,Chemagen,1.84,1.45,107.63,16.1445
159,2022-01-20,RDC,Chemagen,1.99,2.24,93.82,14.072999999999999
160,2022-02-04,RDC,Chemagen,1.9,9.32,143.35,21.5025
161,2022-01-12,RDC,Chemagen,1.94,1.98,63.31,9.4965
162,2022-01-12,RDC,Chemagen,1.94,2.04,77.16,11.574
163,2022-01-27,RDC,Chemagen,1.94,2.28,115.16,17.274
164,2022-01-17,RDC,Chemagen,1.87,1.82,122.85,18.4275
165,2022-03-24,RDC,Chemagen,2.02,2.24,85.36,12.804
166,2022-03-07,RDC,Chemagen,1.87,2.24,100.99,15.1485
167,2022-02-10,RDC,Chemagen,1.88,2.39,57.8,8.67
168,2022-01-20,RDC,Chemagen,1.94,2.25,135.81,20.3715
169,2022-01-17,RDC,Chemagen,1.95,2.21,85.14,12.771
170,2022-03-17,RDC,Chemagen,1.97,2.53,146.67,22.000499999999995
171,2022-03-09,RDC,Chemagen,1.94,1.91,110.93,16.6395
172,2022-03-28,RDC,Chemagen,2.04,2.52,93.58,14.037
173,2022-02-08,RDC,Chemagen,2.04,1.79,486.87,73.0305
174,2022-01-07,RDC,Chemagen,2.02,2.47,111.09,16.6635
175,2022-02-10,RDC,Chemagen,1.96,2.37,76.46,11.468999999999998
176,2022-02-01,RDC,Chemagen,1.96,2.24,58.63,8.7945
177,2022-03-11,RDC,Chemagen,2.04,2.41,105.94,15.891
178,2022-02-08,RDC,Chemagen,1.9,1.98,58.77,8.8155
179,2022-01-12,RDC,Chemagen,1.93,1.68,35.73,5.359499999999999
180,2022-02-10,RDC,Chemagen,1.99,2.33,62.91,9.4365
181,2022-01-17,RDC,Chemagen,1.97,2.13,107.5,16.125
182,2022-02-28,RDC,Chemagen,2.04,2.06,80.5,12.075
183,2022-03-25,RDC,Chemagen,1.95,2.26,112.89,16.9335
184,2022-03-10,RDC,Chemagen,1.99,2.07,85.31,12.7965
185,2022-02-07,RDC,Chemagen,1.98,2.02,72.28,10.842
186,2022-01-24,RDC,Chemagen,1.92,2.34,132.72,19.908
187,2022-01-31,RDC,Chemagen,1.94,2.25,65.12,9.768
188,2022-02-25,RDC,Chemagen,1.99,2.27,200.93,30.1395
189,2022-02-16,RDC,Chemagen,1.91,1.8,134.37,20.1555
190,2022-02-24,RDC,Chemagen,1.92,2.22,143.39,21.508499999999998
191,2022-02-10,RDC,Chemagen,1.96,2.32,104.63,15.6945
192,2022-03-11,RDC,Chemagen,1.93,1.96,184.37,27.6555
193,2022-01-20,RDC,Chemagen,2.55,2.45,92.6,13.89
194,2022-02-14,RDC,Chemagen,1.92,2.1,49.81,7.4715
195,2022-01-17,RDC,Chemagen,1.8,1.41,89.81,13.4715
196,2022-02-10,RDC,Chemagen,1.92,2.41,200.67,30.100499999999997
