Sample name,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
sample_17,A3, 93.48,2.01,1.88,  0.03,  1.25,  2.34,  1.16
sample_18,B3, 79.28,2.04,2.03,  0.03,  0.98,  1.98,  0.97
sample_19,C3,117.55,2.06,1.56,  0.06,  1.88,  2.94,  1.43
sample_20,D3, 59.82,2.02,0.72,  0.06,  2.08,  1.50,  0.74
sample_21,E3, 64.98,2.12,2.18,  0.02,  0.74,  1.62,  0.77
sample_22,F3, 89.35,1.95,0.79,  0.05,  2.83,  2.23,  1.15
sample_23,G3,  1.17,2.41,0.10,  0.02,  0.28,  0.03,  0.01
blank_24,H3,  0.00,-,-,  0.00,  0.00,  0.00,  0.00
