Participant ID,DropPlate Position,Output Tube ID,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
118000194,A01,1049537852,44.59,2.02,1.63,0.02,0.68,1.11,0.55
118000193,B01,1049537853,56.74,2.02,0.63,0.04,2.26,1.42,0.7
117000363,C01,1049537854,60.97,1.94,1.82,0.05,0.84,1.52,0.79
117000355,D01,1049537855,21.12,1.97,0.57,0.02,0.93,0.53,0.27
117000295,E01,1049537856,86.82,2.04,1.53,0.03,1.42,2.17,1.07
117000284,F01,1049537857,7.41,1.84,0.14,0.05,1.34,0.19,0.1
111001671,G01,1049537858,67.81,2.08,1.45,0.04,1.17,1.7,0.82
111001562,H01,1049537859,38.36,2.03,1.47,0.05,0.65,0.96,0.47
111001544,A02,1049537860,146.39,1.96,1.27,0.05,2.89,3.66,1.86
122000932,B02,1049537861,58.47,2.08,1.32,0.02,1.1,1.46,0.7
122000675,C02,1049537862,69.49,2.05,1.22,0.05,1.42,1.74,0.85
QCNC184,D02,1049537863,0.89,0.72,0.1,0.02,0.22,0.02,0.03
